type,Correlation_Coefficient,p_value
app_install_network,0.20858175069881058,0.6916646889349454
web_channel,0.9597260674306585,0.00240032251611241
newsletters,-0.410710106323134,0.589289893676866
PR,1.0,1.0
paid,0.4385121565195754,0.15386985149294757
free,0.5277636853104707,0.28185467112503587
